Date,OLR,F,inCOD,HLR,ALR,pH0,T,TSS,VFA,outCOD,CODrate,VFA1,pH1,T_in,T_high,T_low
16/11/2014,11.03,10320,1795,6.14,0.0909,7.06,29.0,332,912.0,704,60.78,114.0,7.32,29.0,14.0,1
17/11/2014,9.05,10320,1474,6.14,0.0885,7.09,29.0,112,786.0,552,62.55,120.0,7.36,29.0,12.0,-2
19/11/2014,11.55,10320,1881,6.14,0.0479,6.78,30.0,306,1014.0,609,67.62,132.0,7.39,29.0,12.0,2
20/11/2014,12.65,10560,2012,6.29,0.0415,6.4,30.4,306,906.0,757,62.38,108.0,7.11,30.0,18.0,4
21/11/2014,13.72,10560,2183,6.29,0.0327,6.39,30.8,266,990.0,754,65.46,90.0,6.98,31.0,17.0,5
22/11/2014,14.14,10560,2250,6.29,0.0459,6.35,31.1,433,1044.0,895,60.22,133.8,7.03,31.0,15.0,4
23/11/2014,14.29,10560,2274,6.29,0.0534,6.45,30.9,337,1020.0,881,61.26,135.6,7.04,31.0,10.0,6
24/11/2014,13.95,10560,2220,6.29,0.0566,6.54,30.4,395,1074.0,795,64.19,108.0,7.08,30.0,12.0,4
25/11/2014,13.57,10560,2159,6.29,0.061,6.56,29.9,535,1032.0,855,60.4,99.6,7.21,30.0,11.0,1
26/11/2014,15.34,10560,2441,6.29,0.0553,6.51,31.2,590,1092.0,851,65.14,139.8,7.13,30.0,15.0,2
27/11/2014,14.47,10560,2302,6.29,0.0522,6.49,30.7,696,1122.0,792,65.6,106.2,7.09,31.0,12.0,6
28/11/2014,12.72,10560,2024,6.29,0.0591,6.47,29.2,442,978.0,724,64.23,133.8,6.97,29.0,9.0,-1
29/11/2014,12.06,9120,2221,5.43,0.0494,6.43,30.1,583,1056.0,863,61.14,166.2,7.04,30.0,10.0,4
30/11/2014,11.91,10560,1895,6.29,0.0654,6.59,29.2,343,864.0,772,59.26,139.8,7.05,29.0,8.0,-7
01/12/2014,13.12,10560,2087,6.29,0.061,6.49,27.5,308,948.0,841,59.7,205.8,7.02,27.0,0.0,-8
02/12/2014,13.5,10560,2147,6.29,0.0616,6.48,28.5,276,960.0,826,61.53,198.0,6.92,28.0,2.0,-7
03/12/2014,14.16,10560,2252,6.29,0.0691,6.76,30.0,324,1002.0,806,64.21,186.0,7.04,30.0,15.326923076923077,-8
04/12/2014,11.23,10560,1786,6.29,0.071,6.58,28.0,162,882.0,745,58.29,171.6,7.06,27.0,2.0,-8
05/12/2014,11.84,10560,1883,6.29,0.0591,6.51,29.0,293,1014.0,737,60.86,150.0,7.08,28.0,3.0,-8
06/12/2014,12.07,10560,1921,6.29,0.0559,6.4,29.0,333,984.0,675,64.86,150.0,7.02,29.0,6.0,-4
07/12/2014,11.64,10560,1852,6.29,0.0585,6.53,31.0,304,924.0,811,56.21,144.0,7.09,30.0,6.0,-4
08/12/2014,11.68,10560,1858,6.29,0.0541,6.51,30.0,253,930.0,706,62.0,126.0,7.06,30.0,5.0,-4
09/12/2014,11.68,10560,1858,6.29,0.0629,6.56,31.0,375,834.0,657,64.64,72.0,7.14,30.0,5.0,0
10/12/2014,10.58,10320,1723,6.14,0.0688,6.53,29.0,420,660.0,700,59.37,42.0,6.94,30.0,7.0,-4
11/12/2014,11.24,10560,1788,6.29,0.066,6.39,29.0,303,744.0,736,58.84,54.0,6.9,28.0,2.0,-7
12/12/2014,10.79,9840,1842,5.86,0.0715,6.61,29.0,301,726.0,735,60.1,60.0,7.06,30.0,3.0,-8
13/12/2014,9.82,10560,1563,6.29,0.0773,6.69,29.0,279,636.0,662,57.65,60.0,7.15,29.0,5.0,-6
14/12/2014,7.58,9600,1327,5.71,0.0749,6.75,28.0,346,522.0,544,59.01,60.0,7.08,28.0,6.0,-2
15/12/2014,9.64,10560,1534,6.29,0.0685,6.59,29.0,245,654.0,632,58.8,48.0,7.09,29.0,6.0,-7
16/12/2014,9.32,10320,1518,6.14,0.0713,6.62,28.0,153,540.0,641,57.77,48.0,7.04,28.0,0.0,-7
17/12/2014,9.01,10560,1433,6.29,0.0823,6.8,26.0,283,456.0,702,51.01,60.0,7.03,26.0,4.0,-6
18/12/2014,9.4,10320,1531,6.14,0.0786,6.73,27.0,242,504.0,637,58.39,48.0,7.03,27.0,9.0,-2
19/12/2014,9.72,8400,1944,5.0,0.0555,6.46,29.0,215,654.0,613,68.47,54.0,6.98,28.0,10.0,-6
20/12/2014,9.45,8400,1889,5.0,0.0525,6.53,28.0,212,702.0,712,62.31,48.0,7.0,28.0,3.0,-6
21/12/2014,12.03,10560,1914,6.29,0.0559,6.55,28.0,277,774.0,647,66.2,54.0,7.02,28.0,2.0,-6
22/12/2014,13.48,11280,2008,6.71,0.0584,6.52,30.0,211,858.0,715,64.39,72.0,7.03,30.0,8.0,-4
23/12/2014,15.48,11520,2257,6.86,0.0555,6.47,32.0,235,1044.0,865,61.67,60.0,7.15,31.0,8.0,-2
24/12/2014,15.86,11520,2313,6.86,0.0549,6.54,32.0,270,1110.0,810,64.98,60.0,7.15,31.0,6.0,-8
25/12/2014,19.15,11760,2736,7.0,0.0574,6.52,31.0,248,1170.0,925,66.19,60.0,7.2,31.0,6.0,-8
26/12/2014,17.56,11760,2508,7.0,0.0637,6.59,31.0,344,1092.0,901,64.07,66.0,7.24,31.0,5.0,-4
27/12/2014,17.37,11760,2481,7.0,0.063,6.64,30.0,200,1068.0,939,62.15,60.0,7.26,30.0,8.0,-3
28/12/2014,16.64,11760,2377,7.0,0.0693,6.62,31.0,249,924.0,837,64.79,66.0,7.27,31.0,10.0,-5
29/12/2014,13.89,11760,1984,7.0,0.0777,6.91,30.0,257,876.0,692,65.12,48.0,7.33,30.0,11.0,-5
30/12/2014,13.52,11760,1932,7.0,0.0749,6.72,31.0,302,846.0,724,62.53,42.0,7.31,31.0,11.0,-3
31/12/2014,14.04,11760,2006,7.0,0.0574,6.61,30.0,155,900.0,759,62.16,42.0,7.31,30.0,2.0,-8
01/01/2015,15.69,12000,2197,7.14,0.0664,6.63,29.0,198,960.0,928,57.76,66.0,7.3,30.0,2.0,-6
02/01/2015,14.53,11520,2119,6.86,0.0597,6.61,28.0,269,930.0,750,64.61,72.0,7.27,29.0,4.0,-6
03/01/2015,13.46,11040,2049,6.57,0.0618,6.52,28.0,237,762.0,709,65.4,72.0,7.2,28.0,10.0,-4
04/01/2015,15.99,12000,2239,7.14,0.05,6.48,30.0,280,960.0,797,64.4,36.0,7.21,30.0,11.0,-2
05/01/2015,15.54,12000,2175,7.14,0.0493,6.46,30.0,264,1020.0,652,70.02,60.0,7.23,30.0,6.0,-3
06/01/2015,15.57,11760,2224,7.0,0.0441,6.47,30.0,259,1080.0,768,65.47,48.0,7.31,31.0,2.0,-4
07/01/2015,15.26,12000,2136,7.14,0.0607,6.64,30.0,238,1008.0,746,65.07,66.0,7.35,30.0,5.0,-6
08/01/2015,15.26,12000,2137,7.14,0.0579,6.64,30.0,250,1044.0,809,62.14,60.0,7.35,30.0,10.0,-6
