2#和3#反应器运行数据（输入数据相同）,,,,,,,,,,2#反应器,,,,,,,,,,,,,3#反应器,,,,,,,,,,,,,
时间,系统输入（进水指标）,,,,,,,,,系统输出（出水指标）,,,,影响因素,,,,,时间,系统输入（进水指标）,,,,,,,,,系统输出（出水指标）,,,,影响因素,,,
,进水主参数,,,,,影响因素（进水的其他指标）,,,,主参数,,,,反应器内,,当地气温,,,,进水主参数,,,,,影响因素（进水的其他指标）,,,,主参数,,,,反应器内,,当地气温,
,OLR,进水量（F）,进水COD,HLR,ALR,pH,温度,TSS,VFA,VMP,出水COD,COD去除率 %,VFA,pH,罐内温度,最高,最低,,,OLR,进水量（F）,进水COD,HLR,ALR,pH,温度,TSS,VFA,VMP,出水COD,COD去除率 %,VFA,pH,罐内温度,最高,最低
24/11/2014,14.21 ,18000,2289,6.21 ,0.0528 ,6.78 ,33 ,396,1116,,859,62.47 ,171.6,7.26,33,12,4,,24/11/2014,2.37 ,3000,2289,1.03 ,0.0088 ,6.78,32.9,396,1116,,1186,48.19 ,516 ,7.61,23,12,4
25/11/2014,14.43 ,18000,2325,6.21 ,0.0434 ,6.74 ,33 ,307,1068,,902,61.20 ,150,7.23,33,11,1,,25/11/2014,3.37 ,4200,2325,1.45 ,0.0101 ,6.74,32.6,307,1068,,1046,55.01 ,320 ,7.63,30,11,1
26/11/2014,14.56 ,18000,2345,6.21 ,0.0484 ,6.64 ,34 ,415,1038,,863,63.20 ,157.8,7.21,33,15,2,,26/11/2014,4.27 ,5280,2345,1.82 ,0.0142 ,6.64,33.9,415,1038,,774,66.99 ,238 ,7.66,32,15,2
27/11/2014,14.52 ,17520,2403,6.04 ,0.0520 ,6.74 ,33 ,379,1194,,907,62.26 ,156,7.32,33,12,6,,27/11/2014,5.37 ,6480,2403,2.23 ,0.0192 ,6.74,33.4,379,1194,,847,64.75 ,208 ,7.68,32,12,6
28/11/2014,14.54 ,18000,2343,6.21 ,0.0497 ,6.58 ,32 ,401,1116,,926,60.48 ,228,7.18,31,9,-1,,28/11/2014,7.17 ,8880,2343,3.06 ,0.0245 ,6.58,32.1,401,1116,,882,62.36 ,269 ,7.58,30,9,-1
29/11/2014,14.97 ,18000,2412,6.21 ,0.0689 ,6.69 ,33 ,561,1122,,1011,58.08 ,177.6,7.24,32,10,4,,29/11/2014,9.78 ,11760,2412,4.06 ,0.0450 ,6.69,32.8,561,1122,,987,59.08 ,274 ,7.54,32,10,4
30/11/2014,13.52 ,18000,2179,6.21 ,0.0602 ,6.84 ,32 ,293,1068,,930,57.32 ,222,7.23,31,8,-7,,30/11/2014,9.02 ,12000,2179,4.14 ,0.0401 ,6.84,31.5,293,1068,,981,54.98 ,284 ,7.53,31,8,-7
01/12/2014,12.39 ,17040,2108,5.88 ,0.0664 ,6.91 ,30 ,413,960,,893,57.64 ,247.8,7.21,30,0,-8,,01/12/2014,9.60 ,13200,2108,4.55 ,0.0514 ,6.91,30,413,960,,874,58.54 ,304 ,7.55,29,0,-8
02/12/2014,10.87 ,14400,2190,4.97 ,0.0561 ,6.94 ,29 ,332,942,,924,57.81 ,216,7.11,30,2,-7,,02/12/2014,9.06 ,12000,2190,4.14 ,0.0468 ,6.94,29,332,942,,868,60.37 ,288 ,7.52,30,2,-7
03/12/2014,10.79 ,14400,2173,4.97 ,0.0472 ,6.71 ,31 ,304,1110,,934,57.02 ,246,7.2,31,2,-8,,03/12/2014,8.09 ,10800,2173,3.72 ,0.0354 ,6.71,31,304,1110,,967,55.50 ,312 ,7.56,30,2,-8
04/12/2014,11.49 ,14880,2239,5.13 ,0.0503 ,6.77 ,31 ,193,1044,,923,58.78 ,229.8,7.14,30,2,-8,,04/12/2014,8.34 ,10800,2239,3.72 ,0.0365 ,6.77,30.7,193,1044,,804,64.09 ,244 ,7.55,29,2,-8
